dataset,num_beams,n_edges,propagation_steps,metric,mean,std,n_seeds
beauty,10,10,2,ndcg@10,0.006608514919592529,0.0004891395079512432,10
beauty,10,10,2,ndcg@5,0.005650092601211075,0.00044840268600884205,10
beauty,10,10,2,recall@10,0.010781201091087957,0.0008005971934689325,10
beauty,10,10,2,recall@5,0.007825425926754013,0.0006102189476802075,10
beauty,10,20,2,ndcg@10,0.013513981707752943,0.0008120480013926386,10
beauty,10,20,2,ndcg@5,0.0115678540622325,0.0009107326410784471,10
beauty,10,20,2,recall@10,0.02234941644680946,0.0010706726244254629,10
beauty,10,20,2,recall@5,0.016285829271564637,0.0011920358817661919,10
beauty,10,50,0,ndcg@10,0.00036100798587554287,0.00010188756344397765,10
beauty,10,50,0,ndcg@5,0.00024335134681326723,8.905771022920806e-05,10
beauty,10,50,0,recall@10,0.000773599248759111,0.00018139537541565738,10
beauty,10,50,0,recall@5,0.0004069221481912087,0.00014972498029599708,10
beauty,10,50,1,ndcg@10,0.0075692867905425235,0.000570294698988214,10
beauty,10,50,1,ndcg@5,0.006686422988297298,0.0005129435293515642,10
beauty,10,50,1,recall@10,0.011899119080624245,0.0008730773296056425,10
beauty,10,50,1,recall@5,0.009153512498323123,0.000642860627485174,10
beauty,10,50,2,ndcg@10,0.028916747921434182,0.0006923664641908804,10
beauty,10,50,2,ndcg@5,0.02430201344155713,0.0006827253120979864,10
beauty,10,50,2,recall@10,0.048727809327907705,0.0009277566903097061,10
beauty,10,50,2,recall@5,0.03435138398247105,0.0008476017204602098,10
beauty,10,50,3,ndcg@10,0.039611679235740556,0.0004965439296212387,10
beauty,10,50,3,ndcg@5,0.032904388557759554,0.0005125668110357582,10
beauty,10,50,3,recall@10,0.06775477350981532,0.0008274405763963941,10
beauty,10,50,3,recall@5,0.0468854804811519,0.0007450550425453456,10
beauty,10,50,4,ndcg@10,0.042376028377185786,0.0002942676134437491,10
beauty,10,50,4,ndcg@5,0.03521226540674961,0.0002868383819135379,10
beauty,10,50,4,recall@10,0.0725171041452399,0.0004141765037488269,10
beauty,10,50,4,recall@5,0.050225819433886335,0.0004324157907130831,10
beauty,10,50,5,ndcg@10,0.04291466368573118,0.00030146448573018094,10
beauty,10,50,5,ndcg@5,0.03566927742068916,0.0002910533997460327,10
beauty,10,50,5,recall@10,0.07346062692840853,0.0004445760558614897,10
beauty,10,50,5,recall@5,0.0509055135715244,0.0004609655450711473,10
beauty,10,100,2,ndcg@10,0.03851945384139479,0.000801923810278386,10
beauty,10,100,2,ndcg@5,0.03207010876000719,0.0007014874362622063,10
beauty,10,100,2,recall@10,0.06569780440906856,0.0011566571131678362,10
beauty,10,100,2,recall@5,0.045637884004829404,0.0007994168932642869,10
beauty,10,200,2,ndcg@10,0.04417365685132643,0.0003207005661741223,10
beauty,10,200,2,ndcg@5,0.03657888529051535,0.0003786771140307253,10
beauty,10,200,2,recall@10,0.07583955641014176,0.00048253555892139335,10
beauty,10,200,2,recall@5,0.0522336001430935,0.0006279652710207027,10
beauty,10,300,2,ndcg@10,0.04575772338887849,0.00030112895694535597,10
beauty,10,300,2,ndcg@5,0.03772291730843977,0.00027874785675248236,10
beauty,10,300,2,recall@10,0.07873272816706167,0.0005969863496246417,10
beauty,10,300,2,recall@5,0.05379421365648616,0.00045893676514303905,10
beauty,20,50,2,ndcg@10,0.03722241288651956,0.0005637806140969325,10
beauty,20,50,2,ndcg@5,0.03103214121299849,0.0005127212074623051,10
beauty,20,50,2,recall@10,0.06329204489558646,0.0008983498817759814,10
beauty,20,50,2,recall@5,0.04401019541206457,0.0006728343379261822,10
beauty,30,50,2,ndcg@10,0.041082018230408426,0.0005518700566948676,10
beauty,30,50,2,ndcg@5,0.03415762920747027,0.0006440589756194973,10
beauty,30,50,2,recall@10,0.07001296784867862,0.0006775234796605179,10
beauty,30,50,2,recall@5,0.04846398068237714,0.0007790354729949834,10
beauty,40,50,2,ndcg@10,0.04282974794294467,0.000510943669700598,10
beauty,40,50,2,ndcg@5,0.03548404879174047,0.0004319499033780384,10
beauty,40,50,2,recall@10,0.07345615525645038,0.0008210386971001918,10
beauty,40,50,2,recall@5,0.05063274158207754,0.0006735768989489073,10
beauty,50,50,2,ndcg@10,0.04450364293789536,0.00015534399750103054,10
beauty,50,50,2,ndcg@5,0.03686262398181264,0.00027506864781513753,10
beauty,50,50,2,recall@10,0.0763582703572866,0.00026429561041960983,10
beauty,50,50,2,recall@5,0.052591333899745116,0.0005433689681521579,10
cds_and_vinyl,10,10,2,ndcg@10,0.0015337321917082926,6.670914136628607e-05,10
cds_and_vinyl,10,10,2,ndcg@5,0.0014065823568551786,6.473631979881732e-05,10
cds_and_vinyl,10,10,2,recall@10,0.0021858141327167875,8.930100522494156e-05,10
cds_and_vinyl,10,10,2,recall@5,0.0017911717026761276,6.162809581590827e-05,10
cds_and_vinyl,10,20,2,ndcg@10,0.0032033944596275865,0.00012411311645228992,10
cds_and_vinyl,10,20,2,ndcg@5,0.002922408213812848,0.0001360596859415336,10
cds_and_vinyl,10,20,2,recall@10,0.004622764357277632,0.00016146270475945006,10
cds_and_vinyl,10,20,2,recall@5,0.003755082516144463,0.00017518623384727412,10
cds_and_vinyl,10,50,0,ndcg@10,7.345890322627229e-05,1.9736100203017313e-05,10
cds_and_vinyl,10,50,0,ndcg@5,5.028754826758378e-05,1.8869697923519008e-05,10
cds_and_vinyl,10,50,0,recall@10,0.00015413643732227803,3.609193049237443e-05,10
cds_and_vinyl,10,50,0,recall@5,8.238326822397619e-05,2.9246191358117724e-05,10
cds_and_vinyl,10,50,1,ndcg@10,0.0019275088178325496,0.00013885756241438008,10
cds_and_vinyl,10,50,1,ndcg@5,0.001781779479114333,0.0001373129365870103,10
cds_and_vinyl,10,50,1,recall@10,0.0026708124053256795,0.00015821636769062654,10
cds_and_vinyl,10,50,1,recall@5,0.002215046905312392,0.0001467732863230829,10
cds_and_vinyl,10,50,2,ndcg@10,0.007663880459238205,0.00017480930808525975,10
cds_and_vinyl,10,50,2,ndcg@5,0.006947149409558822,0.00016441089457539432,10
cds_and_vinyl,10,50,2,recall@10,0.011540301363310213,0.00027484297223758034,10
cds_and_vinyl,10,50,2,recall@5,0.009322596933216402,0.00019898928493097522,10
cds_and_vinyl,10,50,3,ndcg@10,0.014320935205735123,0.00032658519422001144,10
cds_and_vinyl,10,50,3,ndcg@5,0.012536613379788439,0.0003244408880718839,10
cds_and_vinyl,10,50,3,recall@10,0.023054027478806242,0.00046182856831121657,10
cds_and_vinyl,10,50,3,recall@5,0.01752770469584629,0.0003992409541607837,10
cds_and_vinyl,10,50,4,ndcg@10,0.01872539244844245,0.0004760525359945941,10
cds_and_vinyl,10,50,4,ndcg@5,0.01609755848402512,0.00043450344092161593,10
cds_and_vinyl,10,50,4,recall@10,0.031086396130643918,0.0006688617332343779,10
cds_and_vinyl,10,50,4,recall@5,0.022950384012330915,0.0005107550920726854,10
cds_and_vinyl,10,50,5,ndcg@10,0.020979697516602294,0.00042487362500834665,10
cds_and_vinyl,10,50,5,ndcg@5,0.017935796193811186,0.00038381384803433237,10
cds_and_vinyl,10,50,5,recall@10,0.03513912142230726,0.0006173384878852658,10
cds_and_vinyl,10,50,5,recall@5,0.025699593398708444,0.00043822083152082595,10
cds_and_vinyl,10,100,2,ndcg@10,0.013199759491274868,0.0003094452525957074,10
cds_and_vinyl,10,100,2,ndcg@5,0.011691285757914076,0.00027393958034817724,10
cds_and_vinyl,10,100,2,recall@10,0.020675542799436605,0.0004930963848872798,10
cds_and_vinyl,10,100,2,recall@5,0.016008929283265565,0.00034175580407003637,10
cds_and_vinyl,10,200,2,ndcg@10,0.02040116823662217,0.0003558658675481803,10
cds_and_vinyl,10,200,2,ndcg@5,0.017741587064347877,0.0003598596433156784,10
cds_and_vinyl,10,200,2,recall@10,0.03324962130271865,0.0005484729558346825,10
cds_and_vinyl,10,200,2,recall@5,0.025016609529883865,0.0005558982447115638,10
cds_and_vinyl,10,300,2,ndcg@10,0.024894787973042117,0.00034618568199122477,10
cds_and_vinyl,10,300,2,ndcg@5,0.021253726497851278,0.0003550869137814448,10
cds_and_vinyl,10,300,2,recall@10,0.041644742087219966,0.0005889830790604555,10
cds_and_vinyl,10,300,2,recall@5,0.03036753567727019,0.0005974080506042001,10
cds_and_vinyl,20,50,2,ndcg@10,0.012172010037683213,0.0003411994004947131,10
cds_and_vinyl,20,50,2,ndcg@5,0.010893161558395918,0.0003041844819882864,10
cds_and_vinyl,20,50,2,recall@10,0.018782056392675862,0.0005881431170256044,10
cds_and_vinyl,20,50,2,recall@5,0.014821015705971458,0.0004359204791558078,10
cds_and_vinyl,30,50,2,ndcg@10,0.015159185244592036,0.0002937725125170135,10
cds_and_vinyl,30,50,2,ndcg@5,0.013410433114197496,0.0002674594902373477,10
cds_and_vinyl,30,50,2,recall@10,0.023970873528395654,0.0004990284658802364,10
cds_and_vinyl,30,50,2,recall@5,0.018556166786255282,0.00033797207743202734,10
cds_and_vinyl,40,50,2,ndcg@10,0.017670289220269537,0.0003384152222232354,10
cds_and_vinyl,40,50,2,ndcg@5,0.015500818990942565,0.00032231269912385966,10
cds_and_vinyl,40,50,2,recall@10,0.028269419862340217,0.000561348598848254,10
cds_and_vinyl,40,50,2,recall@5,0.02155252597730474,0.00045260350939672244,10
cds_and_vinyl,50,50,2,ndcg@10,0.019788538033569922,0.00035240594377172405,10
cds_and_vinyl,50,50,2,ndcg@5,0.017246601663878553,0.0003183234415388388,10
cds_and_vinyl,50,50,2,recall@10,0.03204709133912674,0.0006172288434852662,10
cds_and_vinyl,50,50,2,recall@5,0.024188790560471976,0.0004977767696318982,10
sports_and_outdoors,10,10,2,ndcg@10,0.003371270490356413,0.00030852466061627497,10
sports_and_outdoors,10,10,2,ndcg@5,0.0028155180393453997,0.0003216009042828553,10
sports_and_outdoors,10,10,2,recall@10,0.005710994999719085,0.0004752635474862384,10
sports_and_outdoors,10,10,2,recall@5,0.003977751559076353,0.0004678538778457629,10
sports_and_outdoors,10,20,2,ndcg@10,0.006468856347662738,0.0003167403036444823,10
sports_and_outdoors,10,20,2,ndcg@5,0.005405902040929659,0.00028484334024197555,10
sports_and_outdoors,10,20,2,recall@10,0.010983763132760267,0.00046706608660935703,10
sports_and_outdoors,10,20,2,recall@5,0.007674588460025844,0.0003728635800436673,10
sports_and_outdoors,10,50,0,ndcg@10,0.0002611243594723529,7.4306505445376e-05,10
sports_and_outdoors,10,50,0,ndcg@5,0.0001579627621554948,7.450966330521558e-05,10
sports_and_outdoors,10,50,0,recall@10,0.0005927299286476768,0.00012732732118587217,10
sports_and_outdoors,10,50,0,recall@5,0.0002696780718017866,9.097857783389419e-05,10
sports_and_outdoors,10,50,1,ndcg@10,0.0039052698572228897,0.0002654221594749694,10
sports_and_outdoors,10,50,1,ndcg@5,0.003339119591172595,0.00026376852112742626,10
sports_and_outdoors,10,50,1,recall@10,0.00644980055059273,0.0003713083058512236,10
sports_and_outdoors,10,50,1,recall@5,0.004688465644137311,0.00033355453159284327,10
sports_and_outdoors,10,50,2,ndcg@10,0.013494325012573064,0.00047878938123252116,10
sports_and_outdoors,10,50,2,ndcg@5,0.011171894908935892,0.0004758249908992418,10
sports_and_outdoors,10,50,2,recall@10,0.02313051295016574,0.0006577643363789039,10
sports_and_outdoors,10,50,2,recall@5,0.015896960503399067,0.0006319643356288695,10
sports_and_outdoors,10,50,3,ndcg@10,0.01949813072191101,0.00046989601096359784,10
sports_and_outdoors,10,50,3,ndcg@5,0.01601450061458531,0.0003694561730486542,10
sports_and_outdoors,10,50,3,recall@10,0.034277206584639584,0.0008088521205972521,10
sports_and_outdoors,10,50,3,recall@5,0.02339457272880499,0.000545967834109245,10
sports_and_outdoors,10,50,4,ndcg@10,0.021439406540468976,0.0003074439600907209,10
sports_and_outdoors,10,50,4,ndcg@5,0.01752167860037343,0.0002533078885105164,10
sports_and_outdoors,10,50,4,recall@10,0.03785044103601326,0.0006370427669009347,10
sports_and_outdoors,10,50,4,recall@5,0.02559413450193831,0.00036179995256007975,10
sports_and_outdoors,10,50,5,ndcg@10,0.02195441189369959,0.0002720642221484211,10
sports_and_outdoors,10,50,5,ndcg@5,0.017970166621974922,0.00021392065508111903,10
sports_and_outdoors,10,50,5,recall@10,0.03881678745996966,0.0005656864557345632,10
sports_and_outdoors,10,50,5,recall@5,0.026349794932299567,0.00030226440420939307,10
sports_and_outdoors,10,100,2,ndcg@10,0.019123812144985024,0.00050828286654138,10
sports_and_outdoors,10,100,2,ndcg@5,0.015848187692440376,0.000450743008555658,10
sports_and_outdoors,10,100,2,recall@10,0.03325748637563908,0.0007669707575262863,10
sports_and_outdoors,10,100,2,recall@5,0.023040620259565145,0.0005403176793262038,10
sports_and_outdoors,10,200,2,ndcg@10,0.022637648614506165,0.0003223558057816044,10
sports_and_outdoors,10,200,2,ndcg@5,0.01855503235133058,0.00025681432531637633,10
sports_and_outdoors,10,200,2,recall@10,0.039917972919826954,0.0006375655759892593,10
sports_and_outdoors,10,200,2,recall@5,0.02717006573403,0.0003452699043850611,10
sports_and_outdoors,10,300,2,ndcg@10,0.023783711945148618,0.000274223318390894,10
sports_and_outdoors,10,300,2,ndcg@5,0.019404659246995186,0.0002588621899691691,10
sports_and_outdoors,10,300,2,recall@10,0.04230293836732401,0.0004224007517575583,10
sports_and_outdoors,10,300,2,recall@5,0.028599921343895725,0.00036082926209254267,10
sports_and_outdoors,20,50,2,ndcg@10,0.018013439178667722,0.0005083072224340804,10
sports_and_outdoors,20,50,2,ndcg@5,0.014955353544658406,0.0004893130385753304,10
sports_and_outdoors,20,50,2,recall@10,0.03113096241361874,0.0008411610422813926,10
sports_and_outdoors,20,50,2,recall@5,0.02159390977021181,0.0007237513561943071,10
sports_and_outdoors,30,50,2,ndcg@10,0.020584333245356006,0.00035937280610424564,10
sports_and_outdoors,30,50,2,ndcg@5,0.01694182655209738,0.00037110014292150386,10
sports_and_outdoors,30,50,2,recall@10,0.03580538232484971,0.0005022012468135645,10
sports_and_outdoors,30,50,2,recall@5,0.024470475869430866,0.00045478686364003746,10
sports_and_outdoors,40,50,2,ndcg@10,0.02206464283797465,0.00032605393599607283,10
sports_and_outdoors,40,50,2,ndcg@5,0.01804669363571423,0.0003100556482188652,10
sports_and_outdoors,40,50,2,recall@10,0.038648238665093544,0.0006239144842135371,10
sports_and_outdoors,40,50,2,recall@5,0.02612506320579808,0.00042499787321048844,10
sports_and_outdoors,50,50,2,ndcg@10,0.023182742932742417,0.000285263448233971,10
sports_and_outdoors,50,50,2,ndcg@5,0.018980304877324963,0.0002487670488740447,10
sports_and_outdoors,50,50,2,recall@10,0.04074105286813866,0.0006026476069239199,10
sports_and_outdoors,50,50,2,recall@5,0.027627956626776785,0.0004627755788958773,10
toys_and_games,10,10,2,ndcg@10,0.005429678691703463,0.00040370007273530053,10
toys_and_games,10,10,2,ndcg@5,0.004707135226636627,0.0003829858724534313,10
toys_and_games,10,10,2,recall@10,0.008700803626622707,0.0006861946426997685,10
toys_and_games,10,10,2,recall@5,0.006454770245209148,0.000505350246569869,10
toys_and_games,10,20,2,ndcg@10,0.012437213998608017,0.0005616322899988503,10
toys_and_games,10,20,2,ndcg@5,0.010788914210312936,0.0005109224004587211,10
toys_and_games,10,20,2,recall@10,0.02015248300020606,0.0007728323746979984,10
toys_and_games,10,20,2,recall@5,0.015006181743251596,0.0006360647744252052,10
toys_and_games,10,50,0,ndcg@10,0.0003633618545168679,0.00010006826122414688,10
toys_and_games,10,50,0,ndcg@5,0.0002414987080740285,8.277558201600784e-05,10
toys_and_games,10,50,0,recall@10,0.000783020811868947,0.00024501763832319485,10
toys_and_games,10,50,0,recall@5,0.0004018133113538018,0.0001303225905694778,10
toys_and_games,10,50,1,ndcg@10,0.007012146053340247,0.0005036832454393896,10
toys_and_games,10,50,1,ndcg@5,0.006283294975868137,0.0005124012866788267,10
toys_and_games,10,50,1,recall@10,0.010704718730682052,0.0005385396982538304,10
toys_and_games,10,50,1,recall@5,0.008448382443849165,0.0005526985692503291,10
toys_and_games,10,50,2,ndcg@10,0.028317958288479658,0.0007521228980097347,10
toys_and_games,10,50,2,ndcg@5,0.02401614677235438,0.0006258796240129129,10
toys_and_games,10,50,2,recall@10,0.04764063465897383,0.0012384456119917348,10
toys_and_games,10,50,2,recall@5,0.034210797444879454,0.0008511423552915138,10
toys_and_games,10,50,3,ndcg@10,0.04025466989394981,0.00046242841398542187,10
toys_and_games,10,50,3,ndcg@5,0.0333992104090761,0.00042794348009305675,10
toys_and_games,10,50,3,recall@10,0.07053369050072121,0.0008071705224492118,10
toys_and_games,10,50,3,recall@5,0.04906758705955079,0.0004960456358834504,10
toys_and_games,10,50,4,ndcg@10,0.042616886245161634,0.0003639327107857838,10
toys_and_games,10,50,4,ndcg@5,0.035216108624981333,0.00031378917122824754,10
toys_and_games,10,50,4,recall@10,0.0753451473315475,0.0007261741636947526,10
toys_and_games,10,50,4,recall@5,0.05214815577992994,0.000598815601469614,10
toys_and_games,10,50,5,ndcg@10,0.04300173481631937,0.00037413759774659015,10
toys_and_games,10,50,5,ndcg@5,0.03553640238100933,0.00031711466811942633,10
toys_and_games,10,50,5,recall@10,0.0762208942921904,0.0007521042546983862,10
toys_and_games,10,50,5,recall@5,0.05283329899031527,0.000562324318119269,10
toys_and_games,10,100,2,ndcg@10,0.03891381443087254,0.0006614261107570591,10
toys_and_games,10,100,2,ndcg@5,0.032405564829157525,0.0006553743984049193,10
toys_and_games,10,100,2,recall@10,0.06786523799711519,0.0009968944672949225,10
toys_and_games,10,100,2,recall@5,0.04747063671955491,0.0009995676855518365,10
toys_and_games,10,200,2,ndcg@10,0.044144850857701715,0.0002981404039730428,10
toys_and_games,10,200,2,ndcg@5,0.036668502760319126,0.00039509683873991384,10
toys_and_games,10,200,2,recall@10,0.07777663301050897,0.0005127356240115711,10
toys_and_games,10,200,2,recall@5,0.054337523181537194,0.0006223576503921582,10
toys_and_games,10,300,2,ndcg@10,0.04542441402861145,0.0002880004478497714,10
toys_and_games,10,300,2,ndcg@5,0.03758578863084722,0.0003165677502777372,10
toys_and_games,10,300,2,recall@10,0.08044508551411499,0.00039769748744320513,10
toys_and_games,10,300,2,recall@5,0.05586235318359777,0.00042563179847049024,10
toys_and_games,20,50,2,ndcg@10,0.036551116187529986,0.0006123219414430158,10
toys_and_games,20,50,2,ndcg@5,0.03063138726321098,0.0005237467914637352,10
toys_and_games,20,50,2,recall@10,0.06329589944364311,0.001101402060196178,10
toys_and_games,20,50,2,recall@5,0.0447867298578199,0.000783969189356967,10
toys_and_games,30,50,2,ndcg@10,0.04075859173128292,0.00046051058416039293,10
toys_and_games,30,50,2,ndcg@5,0.03399088037289125,0.0005677383710301251,10
toys_and_games,30,50,2,recall@10,0.0710797444879456,0.0006089473249344452,10
toys_and_games,30,50,2,recall@5,0.04988151658767773,0.0008816361780423052,10
toys_and_games,40,50,2,ndcg@10,0.04294689976580114,0.0006589171548852561,10
toys_and_games,40,50,2,ndcg@5,0.0355996508356249,0.0005116539818979265,10
toys_and_games,40,50,2,recall@10,0.07573150628477231,0.0010564176959782614,10
toys_and_games,40,50,2,recall@5,0.05273542138883165,0.0006915877224730327,10
toys_and_games,50,50,2,ndcg@10,0.04444478652479352,0.00033323952609519745,10
toys_and_games,50,50,2,ndcg@5,0.03689823214009991,0.0003381962449546755,10
toys_and_games,50,50,2,recall@10,0.07821965794354008,0.0005685818288399132,10
toys_and_games,50,50,2,recall@5,0.054574490006181746,0.0005106611625421904,10
