dataset,m,repo_orig_n_visited_items,repo_harness_mean_n_visited_items,repo_harness_std_n_visited_items,appendix_harness_mean_n_visited_items,appendix_harness_std_n_visited_items,repo_orig_ndcg@10,repo_harness_mean_ndcg@10,repo_harness_std_ndcg@10,appendix_harness_mean_ndcg@10,appendix_harness_std_ndcg@10,repo_orig_ndcg@5,repo_harness_mean_ndcg@5,repo_harness_std_ndcg@5,appendix_harness_mean_ndcg@5,appendix_harness_std_ndcg@5,repo_orig_recall@10,repo_harness_mean_recall@10,repo_harness_std_recall@10,appendix_harness_mean_recall@10,appendix_harness_std_recall@10,repo_orig_recall@5,repo_harness_mean_recall@5,repo_harness_std_recall@5,appendix_harness_mean_recall@5,appendix_harness_std_recall@5
Sports_and_Outdoors,4,3932.276123046875,,,,,0.014043292962014675,0.014015796248858382,6.251483813749327e-05,0.009634337475273626,0.00039114003901848706,0.010924475267529488,0.010862811956432072,6.26661025891394e-05,0.007264658823498564,0.00043967477998920005,0.02649025246500969,0.026508979905238123,0.00011353030744219791,0.018643369477686012,0.0003666268133125816,0.016798697412014008,0.01669569451467311,9.030142855397139e-05,0.011283405434762252,0.0005097910964592087
Sports_and_Outdoors,8,4126.0830078125,,,,,0.02172841876745224,0.02172255181650286,4.0219054934293716e-05,0.016840998472297992,0.00019287107153661745,0.017756063491106033,0.017753217874632493,1.9114353663289504e-05,0.013917729987730585,0.0002339579013221787,0.03823248669505119,0.038185665861377976,9.030142855397463e-05,0.02901848418450475,0.0004969887637775749,0.025928422808647156,0.02590033147929659,2.809146581268622e-05,0.019935576905069575,0.00038958450966748606
Sports_and_Outdoors,16,4564.2568359375,,,,,0.02529636211693287,0.025387341563720873,0.00011185602068954253,0.018815601793731186,0.00018333672647417027,0.020565709099173546,0.020688370642354945,7.733129704113767e-05,0.015495700471345,0.00030962759403764675,0.04511489346623421,0.04522725995842463,0.00024001358911505147,0.03299810850796861,0.0005182348859307367,0.03031069226562977,0.03050733187257711,0.0001224478606534273,0.022632357623087438,0.00048194127881558054
Sports_and_Outdoors,32,4526.7138671875,,,,,0.02433701977133751,0.024286304118436942,1.6677333696522613e-05,0.018349900240051745,0.00018803239368077554,0.019442997872829437,0.019439174312084005,3.686918082284916e-05,0.014922538369501664,0.0001157548063956602,0.04303612560033798,0.04301739798115999,0.00013857191028474318,0.03211790924583778,0.0005676515372109947,0.027726275846362114,0.027848006442309493,0.00017840476883774014,0.021461879880892185,0.0004598771151116592
Sports_and_Outdoors,64,5515.04443359375,,,,,0.023796914145350456,0.024069847118343948,4.701249381303268e-05,0.01774727538855091,0.00044685158801042714,0.01919425278902054,0.01940303716134549,0.00011757816453544632,0.014519413249207821,0.00042803708302498606,0.04314849153161049,0.04357922729741371,0.00010635257309961652,0.031209618517894264,0.0006350162680744596,0.02882184460759163,0.029074667116130118,0.0001708737156665606,0.02117160140082776,0.0006130979843388522
Beauty,4,4695.72119140625,,,,,0.026779837906360626,0.026685768954807787,4.33474653468553e-05,0.024698911378247493,0.00034025328013711256,0.020851295441389084,0.02076037893350158,5.868366628766847e-05,0.019058094078284526,0.00031264264465481886,0.049188390374183655,0.049084052527239935,0.00011253460977612935,0.04620727690083322,0.0005954771827106739,0.030720386654138565,0.030601141766906648,2.581721008762727e-05,0.02851436151977224,0.0004925609754761086
Beauty,8,5343.95703125,,,,,0.03825991228222847,0.03830939751570916,0.0001270917827673245,0.03561611058502725,0.0002694619945428173,0.029696498066186905,0.0298082804880303,9.274784909747348e-05,0.027648597921498742,0.0003655540285255566,0.07024996727705002,0.07019034416968505,0.0002113229721527811,0.06582301122389661,0.0003820598195822314,0.04368823394179344,0.043822385189822476,0.00011830931945913209,0.04109466529535393,0.0006617470190470308
Beauty,16,5888.201171875,,,,,0.04630677402019501,0.04634248849428349,5.716084966223194e-05,0.04404148205162582,0.00015715222095851296,0.03768361732363701,0.03770797954861339,7.311345073847e-05,0.03578914067125041,8.064219114338593e-05,0.08165273070335388,0.08174216339489335,0.00022358359790725785,0.07731520815632965,0.0006752076586567779,0.05482269823551178,0.05485250935324718,9.308527476036628e-05,0.051692527836157943,0.00046470978157730694
Beauty,32,6147.78076171875,,,,,0.04680328071117401,0.046908578291160234,1.9209544419853114e-05,0.0449425875807429,0.00025580707245230385,0.038462359458208084,0.0386723137251546,5.325290554249955e-05,0.03715415459546745,0.00027656084104788685,0.08080311119556427,0.08075839556410142,4.471671958145018e-05,0.07721086914397293,0.00044116467936468985,0.054912131279706955,0.05521024310989879,0.00014374414227359084,0.053034029423601484,0.0002792558242811066
Beauty,64,6651.8544921875,,,,,0.04379824548959732,0.04390191556588627,5.019185343361962e-05,0.04291344278134755,0.00021325508955519307,0.036154408007860184,0.03636012625997411,8.083930275538478e-05,0.03541925745452891,9.54068100073982e-05,0.07615257054567337,0.07610785672763046,0.00023661863891826418,0.07439371581034149,0.0004007908795703883,0.05231856182217598,0.05258686222778697,0.00016122842532147,0.050991965896048534,0.00015703995815786
Toys_and_Games,4,4681.62548828125,,,,,0.030311906710267067,0.0299489909248354,0.00027034527271177695,0.029043526468090126,0.00034857156757674065,0.022777346894145012,0.02258646967086141,0.00015029024526732996,0.022347856126968754,0.00018287216047785035,0.05980836600065231,0.059087162579847516,0.0006930570805210029,0.05553266021017927,0.0006968756057319532,0.03642076998949051,0.03626622707603544,0.00028682074813671937,0.03480664880829727,0.00019503085190604886
Toys_and_Games,8,5015.6826171875,,,,,0.04379115253686905,0.04385425781178535,0.00012347537069052665,0.04182655341809116,0.00028786798925025916,0.035512201488018036,0.035569441321377765,0.0001081442148298949,0.033683123698649856,0.000320054753891694,0.07979600131511688,0.08000206058108388,8.922577825926756e-05,0.07632735764819013,0.0003147589597469536,0.05398722365498543,0.05412459646953774,2.9741926086421184e-05,0.05098221031664263,0.0003934486996836856
Toys_and_Games,16,5154.4638671875,,,,,0.04640910401940346,0.046451879835028895,4.491798227211052e-05,0.04307390418402875,0.00046762914263523734,0.03834857791662216,0.038483129767314016,5.525532687351765e-05,0.035605558894870944,0.0003332319509652636,0.0821656733751297,0.08232021430043272,8.922577825926756e-05,0.07641321519335119,0.000957302003212195,0.05697506666183472,0.05737001167662614,0.00025928410039393956,0.05302561989147606,0.0005697733368719369
Toys_and_Games,32,5409.11767578125,,,,,0.047016583383083344,0.046746643057084196,0.00019818721497299845,0.042974919796673686,0.0005204216750967184,0.038335368037223816,0.03826675545576469,0.00023153693130699248,0.03529186476897355,0.0005059124868279724,0.08278384804725647,0.08206264166494952,0.0003606016896764896,0.07527989559722509,0.000775004059097247,0.055635690689086914,0.055635689264372554,0.0003378033445447149,0.05135998351535133,0.0007429530755128787
Toys_and_Games,64,5837.46484375,,,,,0.04410471022129059,0.044509353538477056,0.00012696136318866695,0.041284500827430834,0.00039337497033422903,0.03677022084593773,0.03737206556564652,0.000157883682363422,0.03444606982295891,0.0005594905965181283,0.07490212470293045,0.07500515145270967,5.151452709663967e-05,0.07004258534239989,0.0005056127434691802,0.052029673010110855,0.05278521876502507,0.00011896770434568875,0.04881860017858369,0.0009669557129817339
CDs_and_Vinyl,4,15469.490234375,,,,,0.016834473237395287,0.01679401729721118,1.0059637559618488e-06,0.016568979012700782,4.682193522459546e-05,0.01380620151758194,0.013769931193961466,6.8066205146914125e-06,0.013663806135592125,3.377292117888845e-05,0.029365649446845055,0.02930363992310895,3.068645295860346e-05,0.028829714670422633,0.0001145616160973147,0.019944723695516586,0.01988714378094909,7.671613239650864e-06,0.019785271997661377,7.398235885660082e-05
CDs_and_Vinyl,8,17681.662109375,,,,,0.03004169650375843,0.029928781137641136,3.799328454525209e-05,0.028966856617983604,0.00010757542787853215,0.024626141414046288,0.024522853718213094,2.5176189899387825e-05,0.023786978231178032,9.353299267541458e-05,0.053084056824445724,0.05294232285382728,8.847335988837585e-05,0.05100232976339171,0.0002465680841853685,0.03619548678398132,0.03608032811572635,5.53207898021792e-05,0.03485343750830477,0.00013287623907093024
CDs_and_Vinyl,16,18583.4140625,,,,,0.037269629538059235,0.03730816483237315,4.366186404145505e-05,0.035274453578320805,0.00023054459531746712,0.030723711475729942,0.030801598743793977,2.520728243851437e-05,0.029252806620812546,0.0001589011997798641,0.06540168821811676,0.06541940170258755,0.00014816346154718782,0.061393251658738386,0.0005764950648956352,0.04505833238363266,0.04518677970005404,6.687957369112991e-05,0.04270199402942766,0.00030686452958602657
CDs_and_Vinyl,32,18819.220703125,,,,,0.03960111364722252,0.039565794673287406,4.896720906332506e-05,0.03665322023812778,0.0002247751099396799,0.03284142538905144,0.03280603698711266,3.4011203120862066e-05,0.030419302038491403,0.0002797741321144119,0.06867043673992157,0.06860400223232081,5.791940981079509e-05,0.0633243863332359,0.0003336049333873768,0.04764942079782486,0.0475696935873927,6.089154236035645e-05,0.043942172260756335,0.0003572863924034338
CDs_and_Vinyl,64,19034.68359375,,,,,0.040182046592235565,0.04025672722248446,6.73334374929793e-05,0.03728268808659363,0.00013955248011587233,0.03307748958468437,0.03306319645701938,0.00010909853465565695,0.03085138766539208,0.00026839133525118265,0.07099577784538269,0.07115965523045169,0.00011300991985058947,0.06516250764038374,0.00010876388917951942,0.04892503097653389,0.04883644706653556,0.00021356867400571132,0.045213354947868226,0.00032147629597073285
